FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa
Programmes,171340,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Southeast Asia - Europe Joint Funding Scheme
Programmes,280752,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Southeast Asia - Europe Joint Funding Scheme
Programmes,250000,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Southeast Asia - Europe Joint Funding Scheme
Programmes,488018,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,698809,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,545528,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,815096,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,948963,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,399205,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,291009,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,997578,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,715666,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,546531,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,478227,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,687222,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,575928,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,973304,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,704535,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,701634,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,353269,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,1065072,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,559255,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,410905,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,999054,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,496700,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,444494,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,249138,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,239079,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249991,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,242418,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249418,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249980,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249790,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249686,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249590,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Programmes,249970,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Strategic Japanese-Swiss Science and Technology Programme
Careers,836646,Ambizione,Ambizione,Ambizione,Ambizione
Careers,809621,Ambizione,Ambizione,Ambizione,Ambizione
Careers,937724,Ambizione,Ambizione,Ambizione,Ambizione
Careers,805847,Ambizione,Ambizione,Ambizione,Ambizione
Careers,914816,Ambizione,Ambizione,Ambizione,Ambizione
Careers,867625,Ambizione,Ambizione,Ambizione,Ambizione
Careers,485300,Ambizione,Ambizione,Ambizione,Ambizione
Careers,924404,Ambizione,Ambizione,Ambizione,Ambizione
Careers,875989,Ambizione,Ambizione,Ambizione,Ambizione
Careers,830389,Ambizione,Ambizione,Ambizione,Ambizione
Careers,850104,Ambizione,Ambizione,Ambizione,Ambizione
Careers,901159,Ambizione,Ambizione,Ambizione,Ambizione
Careers,888012,Ambizione,Ambizione,Ambizione,Ambizione
Careers,692205,Ambizione,Ambizione,Ambizione,Ambizione
Careers,910050,Ambizione,Ambizione,Ambizione,Ambizione
Careers,824108,Ambizione,Ambizione,Ambizione,Ambizione
Careers,835374,Ambizione,Ambizione,Ambizione,Ambizione
Careers,839118,Ambizione,Ambizione,Ambizione,Ambizione
Careers,685830,Ambizione,Ambizione,Ambizione,Ambizione
Careers,598666,Ambizione,Ambizione,Ambizione,Ambizione
Careers,821627,Ambizione,Ambizione,Ambizione,Ambizione
Careers,892627,Ambizione,Ambizione,Ambizione,Ambizione
Careers,717998,Ambizione,Ambizione,Ambizione,Ambizione
Careers,816337,Ambizione,Ambizione,Ambizione,Ambizione
Careers,845762,Ambizione,Ambizione,Ambizione,Ambizione
Careers,916540,Ambizione,Ambizione,Ambizione,Ambizione
Careers,930003,Ambizione,Ambizione,Ambizione,Ambizione
Careers,833784,Ambizione,Ambizione,Ambizione,Ambizione
Careers,544720,Ambizione,Ambizione,Ambizione,Ambizione
Careers,931546,Ambizione,Ambizione,Ambizione,Ambizione
Careers,924657,Ambizione,Ambizione,Ambizione,Ambizione
Careers,921966,Ambizione,Ambizione,Ambizione,Ambizione
Careers,922000,Ambizione,Ambizione,Ambizione,Ambizione
Careers,961677,Ambizione,Ambizione,Ambizione,Ambizione
Careers,836679,Ambizione,Ambizione,Ambizione,Ambizione
Careers,824608,Ambizione,Ambizione,Ambizione,Ambizione
Careers,798884,Ambizione,Ambizione,Ambizione,Ambizione
Careers,916541,Ambizione,Ambizione,Ambizione,Ambizione
Careers,915884,Ambizione,Ambizione,Ambizione,Ambizione
Careers,854678,Ambizione,Ambizione,Ambizione,Ambizione
Careers,785008,Ambizione,Ambizione,Ambizione,Ambizione
Careers,966613,Ambizione,Ambizione,Ambizione,Ambizione
Careers,664657,Ambizione,Ambizione,Ambizione,Ambizione
Careers,933196,Ambizione,Ambizione,Ambizione,Ambizione
Careers,576625,Ambizione,Ambizione,Ambizione,Ambizione
Careers,966890,Ambizione,Ambizione,Ambizione,Ambizione
Careers,803546,Ambizione,Ambizione,Ambizione,Ambizione
Careers,831764,Ambizione,Ambizione,Ambizione,Ambizione
Careers,589733,Ambizione,Ambizione,Ambizione,Ambizione
Careers,967024,Ambizione,Ambizione,Ambizione,Ambizione
Careers,907877,Ambizione,Ambizione,Ambizione,Ambizione
Careers,738753,Ambizione,Ambizione,Ambizione,Ambizione
Careers,821637,Ambizione,Ambizione,Ambizione,Ambizione
Careers,861550,Ambizione,Ambizione,Ambizione,Ambizione
Careers,916510,Ambizione,Ambizione,Ambizione,Ambizione
Careers,851659,Ambizione,Ambizione,Ambizione,Ambizione
Careers,900248,Ambizione,Ambizione,Ambizione,Ambizione
Careers,817275,Ambizione,Ambizione,Ambizione,Ambizione
Careers,916541,Ambizione,Ambizione,Ambizione,Ambizione
Careers,620233,Ambizione,Ambizione,Ambizione,Ambizione
Careers,866994,Ambizione,Ambizione,Ambizione,Ambizione
Careers,935884,Ambizione,Ambizione,Ambizione,Ambizione
Careers,566300,Ambizione,Ambizione,Ambizione,Ambizione
Careers,853679,Ambizione,Ambizione,Ambizione,Ambizione
Careers,952389,Ambizione,Ambizione,Ambizione,Ambizione
Careers,788964,Ambizione,Ambizione,Ambizione,Ambizione
Careers,570380,Ambizione,Ambizione,Ambizione,Ambizione
Careers,785608,Ambizione,Ambizione,Ambizione,Ambizione
Careers,904500,Ambizione,Ambizione,Ambizione,Ambizione
Careers,912011,Ambizione,Ambizione,Ambizione,Ambizione
Careers,758108,Ambizione,Ambizione,Ambizione,Ambizione
Careers,769888,Ambizione,Ambizione,Ambizione,Ambizione
Careers,835620,Ambizione,Ambizione,Ambizione,Ambizione
Careers,583525,Ambizione,Ambizione,Ambizione,Ambizione
Careers,870836,Ambizione,Ambizione,Ambizione,Ambizione
Careers,555166,Ambizione,Ambizione,Ambizione,Ambizione
Careers,870394,Ambizione,Ambizione,Ambizione,Ambizione
Careers,955080,Ambizione,Ambizione,Ambizione,Ambizione
Careers,815299,Ambizione,Ambizione,Ambizione,Ambizione
Careers,898688,Ambizione,Ambizione,Ambizione,Ambizione
Careers,916510,Ambizione,Ambizione,Ambizione,Ambizione
Science communication,7780,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12900,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,21000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13813,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,7500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,7500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11600,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11533,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14919,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10100,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11427,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10594,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17245,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10600,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12564,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11600,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13826,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19800,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,25000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14813,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10200,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17050,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12100,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14400,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14700,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11703,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16277,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14123,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10311,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12824,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,9708,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17008,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14700,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,8282,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13214,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,25000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18716,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13770,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,7070,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,22500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16910,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,26800,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10323,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13154,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11850,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10200,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,6000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14338,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12200,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11710,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10800,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,5170,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12700,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10065,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17250,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10388,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16092,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,20000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11730,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19178,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19985,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13476,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17100,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,23000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13693,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,25560,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10277,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13652,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10478,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16282,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14414,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18180,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12350,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11502,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16800,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18650,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,17330,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12557,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10920,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,27000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12250,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,8460,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11400,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14660,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19009,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,25000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,21800,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12503,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14434,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16600,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15685,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,8532,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19300,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11990,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,5000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,15000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,12238,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14145,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13772,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,5800,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14340,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,18000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10262,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10235,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,19288,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,11536,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,4910,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16106,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16000,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,10858,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,9050,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,9990,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16537,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,14760,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,16668,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,8085,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,8253,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
Science communication,13940,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Books
